,Wallet_Address,Tokens_Traded,Positive_Trades,Negative_Trades,Still_Holding_OR_Dusted,Sold_Incrementally_(NotJet),Transfer_To_Other_Account_OR_NULL,Transfer_Stablecoin,Average_Profit
1,0x3f1988b7560775c77c91e170de2d07d1b0adf091,22,15,7,7,0,0,0,587.6951143835892
2,0xc19cf595fb0c64e12403ea2977418755caf91df2,26,2,2,9,3,4,0,548.6012751853583
3,0xe7e0e2a648ac31b138857b135172ac79ddefeffa,74,28,20,54,5,6,2,347.8686155382189
4,0x752258acf1bdb774de9bc3f3a726b9fb77cc6345,134,53,7,90,5,8,2,401.3982479059132
5,0xa7d687b55738826dab49f5b50211deabcb6c6cf3,139,4,1,97,6,14,2,388.6222219002459
6,0x5aeb224763ff4d289498e8db86ba56f8c7427383,184,31,14,121,6,14,2,327.4675176262279
7,0xd6d09f269187866d648e5e619f75cd8e9e3f615f,245,40,21,160,6,14,2,321.4331139963829
8,0x96d3e8210a80e4523a57a581ae42335ab60e3f0f,269,18,6,234,11,16,2,342.9846103645492
9,0xc6d90e13271968bd966a8dc56233301a6cdb3882,329,36,24,274,11,16,2,283.5957600936351
10,0xab0ffa3f358a5c1ef43933a22aea441397d03ca5,355,16,10,307,12,16,2,255.50474406579085
11,0xcddaa7e5c94067fb33d17575982cd2007ee2289b,386,27,4,371,15,16,2,286.6226792188343
12,0xfcad154f77cc04d3427c51c95b43d059af8df497,430,35,9,423,16,17,2,276.881064681176
13,0x7a94589e742cc98ced5991b214616593189bae28,489,36,23,463,16,17,2,256.2358964348889
14,0x3674c393a275e1b60097f43afaf424238b7856dc,536,27,20,509,18,17,2,243.6575284602582
15,0x48613a2cfa6c0c5ed250bacd05c6adffd1ce56a8,590,30,24,540,18,22,3,238.5594128983156
16,0x74a945ea5877a15d788cd74cd5af86367c3e80b7,627,15,22,566,18,22,3,222.4901445905649
17,0x99d39a3087627e51791ef4c0bb7d629d0d830f0f,676,21,28,605,18,22,3,228.1277468316825
18,0x8e9b80ab1dee1a87fa2006f6ddec1322f9e6c3e5,728,38,14,647,19,24,4,256.63318859617834
19,0x49225027fe65e214d39b715d374117d9f6fe9e22,748,8,12,659,22,24,4,253.238957666139
20,0xbe8a3ea55e56d3df6ae060d4fc4bd63b32fb5318,775,13,14,676,22,24,4,249.54402605859264
21,0x54d49a68d018701d73030ba57d7d39ddfcb421d2,779,3,1,682,24,24,5,259.95953856854584
22,0xd03c1692dbd8b885ed7d7ece712db8082e8f2200,783,3,1,688,26,24,6,254.40231319340413
23,0x9f9479849c4eaaf887394cc4d00dd8334343d43f,799,5,11,698,27,24,6,256.42199350026635
24,0xc667555818c8cbb8c2d59e59b2677b699a8e59ac,805,0,6,708,27,24,6,256.4174186194532
25,0x11472162c5ec49a564c9277843889b30ccabe03f,808,3,0,714,29,24,7,257.19553167102987
26,0x0622d0ae322fa759dd41c669ead623a9ff501d96,828,7,13,729,31,24,7,251.70635022281954
27,0x5448f5f39c8f0163d12e0de0b2c807c6c04861a4,849,5,16,742,32,24,7,240.8345135345252
28,0xed9f72b2d4ca9237e4a6a2ffc6b8734396f93a38,853,3,1,749,34,24,7,252.12282746792516
29,0xafceaba9a67157e4fee0ee9edae79ccbd94fa24f,883,16,14,772,35,25,8,241.7249889186139
30,0x69a5c3a21b1bc246df8a1877485d75d31e7a020c,884,1,0,773,35,25,8,238.67207590367877
31,0xfc676b0900888ad7c6d8a55d2aed3f501facaef3,913,16,13,786,35,25,8,248.073932320595
32,0x78791a3e9852de4b5db38a136c07609cf0261b0b,917,4,0,788,35,29,9,247.7523034656343
33,0xcbfa71b7630662dcc5c5596dc4d148f46036bfb9,952,22,13,813,35,29,9,246.014689983535
34,0x67f580dcdad4c17ab3f5bead75387f63bd7a7593,986,21,13,838,35,29,9,241.29283358186188
35,0xf300af461780cc63b709de1296dadc3a4e63d95d,987,1,0,839,35,29,10,241.24245424764774
36,0x9c3da6c3b7222fa6e218be6a33b646457f9c9441,1020,21,12,867,35,29,10,244.01908278795128
37,0xdfc9b13bd2dc0afc13e3a81466bad5a6b3f15451,1063,29,14,898,35,29,10,203.0195657349562
38,0x4206db5b280263877f5374304d226b0b69605868,1086,10,13,908,36,30,13,197.63053458231477
39,0xf8271dcdb97275e6981655d9363f9762113ba0cd,1108,17,5,914,36,30,13,197.41829452700046
40,0x9dda370f43567b9c757a3f946705567bce482c42,1141,18,15,963,38,45,13,197.2768699075117
41,0x07f5bafe0946e310e1620018db09250aa7bd5166,1192,21,30,991,38,47,13,181.8156924539877
42,0xeac4c0394156b2f863f6bf3593a19908643ea35e,1193,1,0,992,38,47,14,181.295414101477
43,0x639d0b7eb66bc3bf8c822e1d4b1cfd76b077b9a9,1231,19,19,1023,39,47,14,173.97860583816828
44,0xcea84bf56337ab2e8eca46466285a15d1fa94eb9,1254,8,15,1064,39,53,14,222.16221678906092
45,0x057792c4ef85a0bb1f044f7c056f04d733fdff89,1295,18,23,1079,40,69,14,213.42987451800298
46,0x7deb05a08ee4ea19124cf279453cc237cb39ae29,1350,28,27,1118,41,76,17,208.23932297966772
47,0x3467eba885767d3ac9e754380036ab04d275942a,1381,18,13,1144,42,92,21,204.81292268347184
48,0x8e7bf16c5d552170adbcfc5757e2c04845d73a59,1408,12,15,1169,44,111,24,203.17695068045018
49,0x44552e2d1ce9be176ca6a56e2578d3bcb7a450f2,1428,14,6,1182,46,114,24,217.04904469378735
50,0x088b011f714336350b3d0ccf80ec923e9823fee7,1451,15,8,1194,47,123,24,216.93628978643187
51,0xcc56477f70593c475a187feee81af59ff23df219,1504,23,30,1213,47,126,27,211.24183395787196
52,0xd4e7218b50f06e8d769f55d06113c0984abc036e,1514,6,4,1233,47,126,27,215.40377968556513
53,0xa3366e2ad9782a371a29a7c9f3a0055511f24485,1566,22,30,1276,47,126,27,195.06964254177572
54,0x6f663a2541f4d91b80fed35295dbb2fc00ab0bfe,1585,6,13,1277,48,127,27,192.26680081755077
55,0x512e76e4a2e5ed31e9f4f4eef05cd210832a53e4,1617,10,22,1307,52,139,27,169.74520074504824
56,0x7141735cc59b9b61b0018e23546d087add50eebb,1647,10,20,1312,52,153,27,162.68603440381543
57,0x56c91d8e38e1c4efeb9caf523db5917c63285e58,1688,27,14,1315,52,157,27,158.29379817737293
58,0xd876710fe1882969c3973307d36574c28de11401,1720,14,18,1319,52,164,27,153.8556456727842
59,0x524edffa9a42769736795b33d81c58505537acec,1757,13,24,1346,53,164,27,150.59211636409424
60,0xe9bea3dc53a8bc4650fe191ed414232b7f87c005,1805,17,31,1360,54,168,27,145.52884501127213
61,0x941a8093c3d975326a3089f4df8228218bf63698,1838,10,23,1400,57,169,27,143.1917971624265
62,0x7f2d15040336b0c84a14d6551ed582eb44b626fc,1871,11,22,1436,58,171,27,144.46276602453173
63,0x2907775d326e1eb5ab0d4cfe40cac8f50925cd55,1882,4,7,1437,61,179,27,146.96623547064266
64,0x6227fe0ba15456885d1d765533ab5504f24f0815,1929,25,22,1478,61,180,27,152.77785221020616
65,0xeb7699c5473e7913c66c10d395f3ae574f55bf70,1962,14,19,1484,61,180,27,153.54372106693927
66,0xcd2e0a453f100d774b1677dd957274838d4b8081,1994,17,15,1487,62,180,27,153.85206294615298
67,0xbd881934cfbbf6566426b9aefd0fedde966cfd96,2028,13,21,1491,62,187,27,222.36879288289862
68,0xeaf6265ae69af976489e10b3ee22048261605753,2032,2,2,1493,62,187,27,222.63903293066588
69,0xcb70086680b486f38660d7a7e560c665dda9ae37,2038,3,3,1494,62,196,27,222.7452471258369
70,0xb047680e18b6dad110883a08c9a73d655de9b8a8,2069,16,15,1510,63,208,29,221.23164823045616
71,0xb88266f3e9a023fe23ad4bf038dad1e3ca760acc,2077,2,6,1514,63,214,29,220.7282653971445
72,0x92ee7995091d94d135772af957fbacfae5d45594,2118,13,28,1523,63,214,29,217.84534444228822
73,0x0567c5e3c44ca2b1c7eb55308383036db0a7a29f,2174,36,20,1564,63,214,29,220.04740205950145
74,0xc1692cd69493436b01cddcbe5fedbc911746a7c1,2179,2,3,1597,65,305,29,220.53609359674942
75,0x973100ecaa12d4e24d846ec1d28c76e84a0b17fc,2207,9,19,1604,65,312,32,217.8452899403184
76,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,2207,0,0,1604,65,319,54,217.8452899403184
77,0x817e8253058eb04f505815facecf0eef170106ca,2247,14,26,1647,67,326,54,211.6195735262141
78,0x8e024d74ae17ce27fd4a79726f952b0b2c23ab6c,2250,2,1,1648,67,343,54,211.61368596217318
79,0x45bdf0001f3f0ae397049a92ecf79bc0d94f1365,2256,4,2,1651,67,346,54,211.92501135376548
80,0x88c56ff30a591c16133c0acc75d42319c062a3be,2269,7,6,1664,67,346,54,209.94710349374546
81,0xefec750bc9f84831fc9c33df664de572a2834096,2271,2,0,1665,67,375,54,211.73254093949754
82,0x513f273301c899d5666ca66072f67fc556c63f14,2272,0,1,1670,67,375,54,211.7358918009416
83,0x9ba52eb4e849f39b22628f29956e8b5fd970bbc1,2282,3,7,1683,67,480,54,209.9745673593557
84,0x10d3f0c1c1b7d0838d95dc373a2e0c461d796463,2282,0,0,1699,67,525,54,209.9745673593557
85,0x6dc2d89de9dec6e5dd625ee5cdb23a7bb0da1614,2307,5,20,1705,67,528,54,208.33129653751095
86,0xa47434ab29fa2cae165e3e6fcb48b0fc4500013c,2310,2,1,1709,67,558,57,208.1287469425891
87,0x9663449a7e4ff3b7a0a67dce6e9d538ca634d4fb,2326,15,1,1775,67,562,57,209.5131784260063
88,0x1f6065711404d4fe9900383f7e682b13548a55f7,2341,9,6,1778,67,578,58,214.31626330471607
89,0x443e3c7db69e8f1a183446becf3d8ccf54e4e68c,2391,15,35,1810,67,579,58,207.1110672538235
90,0x810e3583933a220f06054e7eea20f95647a72cd5,2412,9,12,1813,67,581,61,203.86896815814907
91,0x7fb9b40e104ceb31ec67155c69b8aa9ad71fa4f0,2418,2,4,1814,67,606,61,203.84453550631395
92,0xe0a38f56704f47b58131e7efd42cf90f272757ab,2431,7,6,1816,67,606,61,202.6193217818979
93,0x37f2c09c3dcf35f264a9f405b6bc26533403e653,2434,0,3,1816,67,613,61,202.22881548992515
94,0x46cc0721117e3cedf338e8b2490f5bc18b6c4a06,2436,2,0,1816,67,633,61,202.37847529343296
95,0x9c48a4c2e45dc28bf932e0e3207d376d0203df62,2438,0,2,1817,67,682,61,201.9486204737954
96,0x2e9c6aedb6129256dfc09a3403b722a548496295,2484,22,24,1830,67,684,61,200.09670090561073
97,0x8159b284a7f502cdc7884566de2b4650748f7067,2484,0,0,1835,67,684,61,200.09670090561073
98,0x42d51b049252a2319c6381ea145587e171e67572,2503,4,15,1838,68,695,61,197.1292515610021
99,0xd4b084b1537e909dfe2e2b3880ab78024d11ca5e,2511,3,5,1839,68,701,63,196.8816818596709
100,0x0c6080b2fe8a215d4bc5ee7e8fc1e6768c47b9ad,2565,50,4,1869,69,712,64,227.32262044312176
101,0x00003c85bf903e179f1224bc8ab2ea4ed8000001,2586,16,5,1882,74,714,64,234.71945981480422
102,0x8d51e49d30e32e4786e074b53dd5541ce2103e1e,2598,6,6,1925,74,742,69,241.18615375363015
103,0x83ce46a06a5883926e02bbf51b7cce5d280fe5e6,2622,4,20,1945,75,764,75,231.6752016620597
104,0x9fb110c545cf3736625ba7e1324fb68c44b9b26a,2645,7,16,1964,76,797,75,174.88543507753317
105,0x51ddf92f75dea9e218ca63918b3acd1df2fda88d,2687,29,13,1980,76,834,75,168.73278965382468
106,0x1529282ea2d39c1a7a78608c0d0cab72a265196d,2727,22,18,2014,77,838,75,188.4173908241804
107,0x9f6e73b0a98679458680d381e7f4948cfd72fb34,2764,12,25,2020,78,857,75,181.28365146504353
108,0x5556295896bd7a56a822c886651f6a48c6c82c67,2795,23,8,2029,81,857,75,180.28478344653698
109,0x84a242b2d39e1ff167b86de0399f82d971649041,2807,6,6,2055,82,868,75,162.85472665691177
110,0x836b50c2d4494c9963832e8a790d429350998198,2856,28,21,2066,82,871,75,157.9406834121408
111,0x38bcd29cfd6c7c82c3b5b13168e0d57a8fdb4fcf,2895,28,11,2116,86,885,77,162.8141096177076
112,0x6c214f916511d21978dce782133d6e99851556c1,2919,8,16,2132,86,890,77,154.90579651171308
113,0x096d232c17c64133cb16cc2ddedb8f3ea4f7142d,2966,21,26,2166,86,902,77,163.9418270766664
114,0xf256fadc7db24c7e7f328ab53f4caa544e256623,3014,26,22,2189,87,919,78,155.66017620218815
115,0xd1083ecc972165f1529f97ed4d537b6c8b1a8f7e,3066,23,29,2218,87,919,78,149.743461054422
116,0xb167013b024600e390b2a358aecb74a5fbbd6010,3089,12,11,2235,87,927,79,149.76648315345273
117,0xafef30110f7a35bba749de1f2a184e652e567d40,3104,9,6,2241,88,931,79,148.7451381417331
118,0x8bf74aa85d3a25dcf6b4812968cf5d9e3d51a8fb,3121,12,5,2249,89,936,79,153.1814532498999
119,0xfb0d72e9175c13cacd49d5d456d501f41e75e901,3145,12,12,2256,90,951,79,149.1195614507713
120,0x9a2dd65d61e31451fba52e3962d4f0f831f2c59a,3183,16,22,2264,91,951,79,145.12454697652856
121,0xfa3a2468eaff7195466e04bbabc958d812021aed,3205,14,8,2274,91,957,79,146.34658652366966
122,0xf36f479b51de26ee30a32cb97c9f57dcb81d7f0b,3229,15,9,2314,91,964,79,144.0214127496774
123,0x609f9b5fd57f578df6bc89fc7c0e0d818bf6494a,3275,25,21,2341,91,974,79,144.63893357468106
124,0x893239492ded1817bb746bdc35afe7c5093ca943,3313,31,7,2377,92,980,79,146.51901237486047
125,0x22612c808da6f1d4cc0716f6d3736ce80bc9d22a,3356,25,18,2390,93,981,79,141.8279701393438
126,0x05004883f7ae1e731096db59e88ef0e8200957b7,3395,12,27,2401,94,988,79,141.35793224108545
127,0x507b85c97cb4737c1854b75b48c1cc15a5c1cc13,3417,8,14,2407,94,990,79,142.1301978767159
128,0x619b423e3116ae05fd4350bdebc32cf87489f644,3452,24,11,2452,95,998,79,144.06032042123175
129,0x5ee1cbf5a553697c4937bbb05de9a10ed54e128a,3488,16,20,2484,96,1004,79,127.4770633655975
130,0xbca0c9598c6332c93ffa94b92637f2bd13f4e8cf,3528,23,17,2518,96,1006,79,129.7364054961501
131,0x7ff0373f706e07ee326d538f6a6b2cf8f7397e77,3557,22,7,2566,101,1011,79,134.16753302692496
132,0x0de659b57278fdaf1be6c81cc6ef5027173c2070,3568,5,6,2568,101,1013,79,131.9056488583089
133,0x69d602d6b80409839df55ca51ef1d9dd984a9268,3587,10,9,2589,101,1109,84,130.96227527904287
134,0x2816c8daf133b8f8550bac8d0bd656b522904794,3638,21,30,2593,101,1109,84,123.89337420554256
135,0x800a82f4827734387706f1fe816369dfa07d174b,3645,4,3,2603,101,1117,84,123.89089316709473
136,0x25d54927acc35615a7775ac159c60245376590f4,3655,4,6,2676,101,1117,84,122.92856589962553
137,0x95adcbf8afe031de6d207a39e5ca7f73400035c2,3680,10,15,2705,102,1180,88,113.52491395054432
138,0x7ef79626a5c59934eab784e46575a001e1eff0e4,3705,9,16,2709,102,1181,88,112.77059937299381
139,0xaf447bed544df502c021e797d932fd087b4c9530,3721,4,12,2731,102,1186,88,111.85050329941554
140,0x5e60380bc2b9ac97237a680c73a0e9625fc54a87,3753,15,17,2760,105,1186,88,110.24988163916615
141,0xbf6db807424008fbc713890a1994b60b738ddacb,3776,17,6,2777,105,1225,107,109.99038230242871
142,0x6b1d0f897137c040c36736ea5ce6cd28ea28c8c7,3815,21,18,2805,109,1235,107,112.24254413080004
143,0x2c72b8a89a7d2ffc804b15c012065ac28c843e9b,3834,7,12,2829,109,1277,111,111.85947244061333
144,0x9dc3dbb62a5a05e60c278e0e0cdeaf76a20a8153,3868,13,21,2870,112,1277,111,109.55712799396973
145,0xe6b06cf6f3a9027abdc1dcd97a2c562856b2ef99,3893,12,13,2893,116,1294,112,109.83045848627967
146,0xb876fcd14fe2b0a4da9fa119c9c982342630d448,3903,5,5,2902,116,1333,121,109.23470583226901
147,0x6e866c11083cad42c937ae6c606957b989124127,3937,9,25,2937,118,1378,121,107.95371664073915
148,0x438d7834901f27faebc904227be89e3548f77e35,3971,11,23,2956,120,1383,121,118.68016741629052
149,0x3119c0152b160c6878caf34cb3c972f4888b90c6,4013,17,25,2959,120,1383,121,118.45877314043547
150,0x0af6e26ec997cc03f0b6b65d9e64aa86c1271ed8,4020,2,5,2959,120,1383,121,117.55320854976357
151,0x89e364598bda1f96b6618ebe5d9879f070066358,4041,11,10,2998,121,1387,124,117.92408286998881
152,0x52334decc1c93cfc38d535ab1460f7725540b231,4061,5,15,2998,121,1402,189,117.39668472029082
153,0xedb339b2c6b50cd3ff0d9f71dcf1aed11d23b0b9,4100,16,23,3011,123,1405,189,116.87229103546024
154,0xc15f33a8a49fe27d2dc615ccf7d4b3cb267bba31,4106,4,2,3016,124,1405,189,117.01210623950794
155,0x3238616777a668b77aa98fd9f9b43366f0ea1bea,4130,9,15,3022,124,1405,189,115.51330157482266
156,0xd912f65e6fd3722869a807257094f589dd19169c,4136,3,3,3047,124,1407,189,115.8969917230554
157,0x5fbe4f165d0e81cbe2c0e8475b935c9ad9f00e61,4168,11,21,3080,127,1440,189,115.87947583960741
158,0x9aad878a93522f2b7f69942268e45d06c1a914ed,4209,18,23,3104,127,1457,189,114.512980800408
159,0x0e24caaabdc15e412822f7d64f74f41d626c2e41,4235,14,12,3113,127,1457,189,121.12497368709533
160,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,4236,1,0,3113,127,1458,203,121.19842476763863
161,0x92e0f9a7abce95b57d91cc4d0909e922d0596453,4260,9,15,3122,128,1464,204,117.22560125208503
162,0xef083f48ec9d8d62e5410e720c051b53694a4763,4286,11,15,3129,128,1524,206,115.7925773181627
163,0x3d234804e44e4e9663bdc327123e50da801e0728,4293,3,4,3146,129,1586,206,115.50597789013013
164,0x7a2ed8e1b52a26f654e66e02667ce03ffdda9e4c,4301,4,4,3149,130,1738,210,114.81946699190182
165,0x76d6707aa039b589233a1beffdc429578c3355a3,4305,1,3,3161,131,1779,210,114.49752800893768
166,0x58e8e3f3509b63cbae0d69f0bf1301f8a8a08dd6,4360,18,37,3182,131,1784,211,112.43783201584695
167,0x3e9e097a6ae52e55071d31a3acf39a9d6bdf45d1,4404,28,16,3225,133,1785,211,115.75021166263653
168,0x2b76f146295f69518274f905379504a319088272,4441,25,12,3258,133,1785,211,107.584390549004
169,0x71ad0b7557ad330002367f939118cdcaa48bfd2c,4495,29,25,3286,133,1790,211,106.39284835467231
170,0x58a320da0c491061bb6e218aea48a31f7377b2e2,4547,27,25,3317,134,1794,211,106.48196214635252
171,0x2cea8e08b9b5f86bef483ff8294ff3c9716e98f2,4606,35,24,3345,134,1799,211,104.37498098755617
172,0xcc39a6f62cf733c951cdf7babaf41d3cd6387086,4667,45,16,3382,134,1800,211,106.64227791882148
173,0xe14bca1a5f935e07d140a3ec7cc90459a637a37c,4725,35,23,3415,135,1802,211,106.53549476591935
174,0xcdf754dc8ea33f35c632343d6fc5861d719aa67d,4784,32,27,3429,135,1809,211,106.5887042001708
175,0xfc9344f461cf85f9166e3aadea3940a9490d56e5,4801,7,10,3441,135,1834,215,106.29541215903348
176,0x15086aaacbda0fd2202e939208a186d138625ec9,4810,8,1,3444,135,1834,215,107.5946989912173
177,0xc2b4a51e1d35df186c1b1c39e70a73ab91e4f1f3,4812,2,0,3445,135,1834,215,107.3962221312456
178,0x15079e28f20aa573bc786daaf20d8a881504eded,4838,12,14,3498,136,1834,215,107.47516536583218
179,0x7b2d0afce382255248cc2c661b96d5d861745532,4869,16,15,3556,136,1841,215,122.18013831366513
180,0x48f55386cf43f93c6881beab220c6e599b46f3ef,4869,0,0,3557,136,1841,215,122.18013831366513
181,0xa7444098824ee6e06e56d97d42c355201694a031,4908,11,28,3568,136,1843,215,120.43765299261635
182,0x01e5d33af3349352b0772753ce1469cb9739bda7,4947,29,10,3595,136,1848,216,124.15254878841783
183,0xe57ea950510098304613a8618dbc7a7a658b1188,4993,25,21,3624,136,1848,216,122.15003934224687
184,0x4e86fad330b99969c29f4705866b381ec52b5fd8,5034,26,15,3639,136,1854,216,121.93619042668915
185,0x9dcda5f947573b853adf754e677d954bed0e689d,5068,10,24,3641,136,1856,216,116.7764140119153
186,0x6b66e1f1084c0ebfc6d14c36fbb2dc26c93b9d98,5069,0,1,3646,136,1860,216,116.74827539728524
187,0xef9116a99904346a6c2ad9f36bd3b16b2f11cbb7,5070,0,1,3647,136,1860,216,116.73222049631819
188,0x75608dbd3f53be59b1b96f650306cee8751e909a,5085,4,11,3669,136,1862,218,115.86983712112843
189,0x07d00f0e8d6a4b669819b584bf14f334e5b8499d,5087,1,1,3670,136,1862,218,115.8984596518562
190,0x3670074d182288a42eee78253115ca3558846c02,5090,1,2,3673,136,1868,218,115.68735470930072
191,0x81883758a42de9ebbf041659f604691a37b41804,5126,12,24,3685,136,1881,230,115.35734308427155
192,0x9da700326e2ef12594df2a072e07139bc49386bb,5178,17,35,3697,137,1901,232,114.30470726092452
193,0x5744111bd516359db83fdd6f235ca5275cb6e1f3,5223,27,18,3726,137,1916,232,115.48153005923695
194,0x97bd02268eec6912806ae4146ba951515768a147,5229,2,4,3729,137,1918,232,115.19618394872745
195,0x4fab169c85876afa470a9f256f59514edcefcfe9,5287,30,28,3763,138,1921,232,115.64225480089272
196,0xffddcfe5b629d77f315abc2521407c2c55ada6c1,5295,2,6,3774,139,1998,238,114.92523484162705
197,0x99ae4be8adc379cfe765a972f719c1c851dbb683,5342,25,22,3794,139,2009,238,113.2882967865265
198,0x93cff668164daa0c5b106151f463768743291c1e,5354,7,5,3811,139,2090,238,112.5759449387733
